A,B,C,D,E
45,60,8,63,57
12,76,98,8,38
54,86,79,19,57
19,14,92,45,70
39,6,54,69,28
55,20,83,42,24
87,72,39,92,14
65,93,50,13,41
38,33,79,73,31
5,77,31,43,13
65,96,61,4,88
51,30,86,45,2
72,90,67,76,68
87,46,74,43,95
55,83,71,15,4
32,31,84,24,45
15,36,27,86,17
85,34,25,77,39
18,74,70,99,95
65,55,45,26,39
38,86,9,89,8
89,66,35,81,54
76,60,8,46,8
28,67,65,25,23
53,9,74,70,76
65,24,13,52,12
92,53,39,96,51
29,22,42,9,10
62,18,54,6,2
76,85,96,41,2
27,61,83,90,93
30,70,99,3,67
46,25,39,1,62
14,92,64,100,7
84,78,69,16,65
83,48,1,43,28
19,93,17,53,86
98,32,51,98,99
27,97,46,83,71
81,97,36,85,93
97,92,83,98,96
94,51,27,82,12
15,26,59,45,80
21,3,79,56,81
13,4,72,95,82
73,53,29,86,22
49,60,54,32,52
54,1,69,81,28
96,54,90,85,56
74,98,86,81,29
15,10,95,6,63
12,65,77,43,25
73,24,62,69,22
47,73,98,39,69
18,65,85,49,95
14,72,87,60,53
72,92,8,1,6
90,53,20,46,66
13,2,57,45,90
83,48,22,38,72
35,61,13,92,26
22,54,70,28,1
28,7,81,60,76
4,18,11,91,100
63,76,14,42,60
90,31,95,86,49
76,15,40,35,54
92,30,92,88,73
69,43,57,30,87
48,22,35,49,48
73,74,95,55,44
100,100,29,35,53
49,40,22,80,100
25,47,5,44,30
85,90,65,8,56
27,51,40,22,75
10,79,65,65,65
93,46,63,93,8
32,97,75,77,30
56,55,39,75,54
90,4,73,84,63
8,71,73,41,28
37,70,26,36,55
74,48,53,66,79
84,52,92,67,63
35,40,51,1,86
47,29,6,76,26
13,69,52,42,52
47,41,58,79,54
75,64,69,98,92
87,57,40,17,55
24,51,85,78,93
32,14,64,81,13
30,31,27,71,68
79,55,47,89,83
5,17,73,71,11
91,83,3,21,80
54,69,1,77,59
87,4,29,87,30
46,66,45,46,31
93,2,60,18,50
91,8,97,97,53
37,61,57,16,38
75,99,62,55,72
88,7,69,65,24
39,86,30,29,36
16,90,95,8,22
54,35,19,27,88
75,17,42,44,30
64,65,92,97,52
30,16,25,77,76
22,33,4,78,3
2,94,46,49,38
22,22,40,57,24
90,2,72,79,82
52,61,48,1,62
73,61,23,75,24
1,1,49,23,69
15,15,56,43,63
88,96,89,28,32
38,21,12,13,31
94,65,31,86,96
58,77,56,1,17
75,99,24,73,55
86,91,35,4,54
30,87,72,50,21
11,32,22,90,16
85,25,49,19,54
8,83,43,72,49
96,54,96,57,66
23,4,95,62,40
78,49,20,84,39
30,66,3,37,94
41,56,32,42,70
78,86,100,75,56
1,36,59,74,55
44,37,37,20,67
83,49,67,50,40
85,64,21,5,94
86,95,85,44,75
78,28,66,57,94
44,11,4,89,100
90,35,81,27,46
39,79,62,26,94
93,94,58,61,28
98,39,96,44,72
59,99,66,81,61
41,34,45,39,73
48,98,61,83,85
13,91,13,31,36
13,56,63,47,93
69,33,50,80,27
6,25,30,72,34
56,76,67,5,40
53,72,50,5,99
100,13,86,95,61
91,24,100,76,44
50,50,53,11,1
36,93,46,54,78
98,95,99,29,50
47,81,21,24,73
24,12,60,45,52
96,1,28,41,18
37,95,67,53,59
28,62,54,12,19
61,24,63,4,37
7,50,68,62,45
10,67,68,26,59
85,1,7,95,28
30,77,28,83,91
62,86,61,62,43
65,52,29,53,75
56,24,59,95,14
27,97,99,6,2
80,86,40,5,69
19,81,31,51,56
41,37,99,74,49
15,82,36,33,33
69,41,11,63,75
8,9,47,58,58
99,19,80,67,90
61,19,37,27,88
59,18,52,96,16
50,27,55,35,3
19,3,86,93,30
87,90,54,72,16
60,68,88,61,14
67,89,70,4,98
5,5,36,46,34
37,68,40,14,67
9,5,8,48,48
95,39,11,86,15
90,39,30,46,55
42,100,62,40,90
7,75,90,54,85
11,59,22,75,40
63,93,59,59,68
15,22,20,62,14
60,6,51,29,28
42,28,66,54,100
46,39,98,39,81
77,65,26,38,72
61,84,35,22,64
59,4,50,49,22
62,48,54,24,38
31,79,16,40,14
50,70,47,91,54
59,61,19,16,77
15,35,17,59,83
1,4,11,6,70
96,12,37,87,51
46,68,52,4,35
60,92,100,28,17
93,80,12,72,61
24,81,60,14,70
11,74,62,87,65
77,59,2,70,3
41,85,72,56,85
7,51,7,51,70
17,65,99,47,100
42,42,61,91,26
55,99,86,74,64
70,39,57,28,30
23,16,30,45,49
2,86,66,21,17
74,16,96,70,47
87,12,28,44,7
52,24,84,39,33
92,36,23,51,28
13,95,4,43,46
50,31,46,10,57
93,27,53,58,76
52,37,82,46,28
93,27,96,7,89
7,83,91,74,88
82,35,61,64,32
53,84,77,33,47
64,39,66,27,38
11,12,21,48,81
56,46,64,37,41
45,87,19,36,5
33,23,49,83,15
96,4,37,25,100
96,39,6,84,42
55,20,68,66,69
29,49,1,15,30
42,66,79,66,15
12,68,56,61,90
38,85,19,41,23
9,38,96,38,4
14,85,27,6,97
80,12,21,57,41
83,29,41,66,75
22,23,81,94,89
28,4,29,3,9
39,86,75,31,26
14,28,56,93,35
49,77,49,99,54
11,40,69,90,47
34,91,9,80,35
12,56,84,9,47
22,76,27,45,12
23,99,7,49,91
26,60,78,44,13
95,67,26,47,46
27,28,90,42,10
61,51,91,15,13
7,74,5,17,53
69,23,38,94,74
67,87,56,86,40
12,54,67,25,48
65,1,69,45,27
62,14,58,14,9
22,35,95,31,88
51,24,49,18,17
23,61,60,11,100
55,1,11,5,7
65,46,69,78,87
53,1,39,72,34
8,25,64,97,77
99,70,92,9,96
73,79,42,87,44
82,31,94,20,34
82,5,36,17,72
24,99,58,9,43
80,7,73,24,15
98,29,40,51,57
4,91,95,56,2
88,6,25,22,52
67,45,81,68,9
87,30,91,45,87
72,71,88,18,52
13,94,68,85,3
20,89,97,34,92
83,12,95,22,79
23,28,75,46,38
79,13,33,57,52
68,69,74,53,70
73,38,13,53,47
15,65,85,25,91
100,79,14,63,91
30,2,39,91,57
79,92,26,27,21
42,28,64,47,22
74,26,77,28,13
58,37,14,52,17
74,4,6,93,36
38,15,91,41,88
53,59,12,54,85
46,57,51,31,78
32,41,41,83,52
19,7,80,19,1
32,95,10,71,76
33,47,65,14,68
23,99,39,26,94
15,74,53,7,73
60,28,74,50,27
61,54,75,79,100
23,77,61,16,27
41,98,50,55,67
87,9,48,18,54
38,87,5,21,65
41,26,62,10,58
19,53,78,3,4
91,11,89,20,88
20,19,90,28,29
90,2,54,86,24
10,48,52,56,40
36,38,33,59,76
24,32,62,31,23
16,19,56,75,83
33,21,36,74,55
98,1,80,98,64
5,55,77,13,14
76,86,10,71,88
55,83,18,14,65
4,91,64,19,40
7,89,90,43,51
82,89,36,34,79
84,90,22,96,8
68,76,90,35,64
63,75,73,24,56
58,72,51,73,22
67,28,19,9,30
86,85,48,22,26
52,75,66,38,100
11,11,70,71,15
6,84,55,39,76
96,37,59,29,57
55,33,69,47,2
27,58,13,45,40
12,100,17,6,52
49,14,36,48,94
67,64,72,98,30
53,58,13,70,79
94,13,61,67,16
47,12,18,23,6
71,71,72,71,8
42,94,48,20,90
12,49,81,68,43
67,90,80,97,38
21,14,71,57,13
84,14,72,31,16
93,99,66,12,19
80,50,69,79,61
53,41,12,76,83
81,69,4,87,95
80,72,26,58,58
97,80,70,15,6
44,86,84,58,55
12,63,10,93,71
55,10,90,63,31
42,90,52,47,61
74,24,29,10,97
74,3,26,51,25
79,60,51,9,71
31,37,76,47,57
24,53,37,38,31
79,69,77,61,68
3,92,43,70,86
17,66,47,2,36
75,54,58,94,43
63,77,65,6,21
14,88,27,6,94
92,96,18,54,72
71,56,87,51,23
70,19,55,26,41
13,52,26,56,32
90,49,32,78,16
92,58,8,75,23
24,6,65,40,43
9,46,61,97,44
78,21,91,66,20
9,60,98,9,71
17,64,80,85,6
39,81,19,28,44
67,51,21,26,31
44,39,64,25,6
79,75,19,80,66
15,14,62,78,16
46,2,1,99,81
7,74,55,24,51
78,4,81,60,62
50,57,50,68,60
82,95,29,23,96
45,78,25,53,65
28,40,17,9,65
40,48,71,95,88
99,94,69,81,46
62,11,64,33,62
79,14,57,56,89
57,74,18,72,96
49,73,77,14,54
84,97,79,98,40
38,88,47,40,71
52,15,69,51,86
84,93,64,4,2
19,64,23,43,80
56,92,86,69,80
93,96,89,9,24
67,24,54,63,41
56,11,92,35,48
96,80,50,24,72
95,7,87,45,81
50,85,40,69,86
60,85,83,56,69
68,8,91,18,43
40,8,82,4,64
22,59,18,88,91
42,57,17,17,32
55,46,69,37,90
73,9,25,43,86
68,45,99,93,54
26,51,74,23,71
65,95,33,44,21
86,2,16,72,49
42,45,17,6,78
50,57,14,98,61
74,57,1,56,3
47,30,70,89,43
21,34,12,40,80
84,19,24,10,56
30,89,21,4,18
13,5,86,94,20
35,70,84,17,72
50,22,58,33,20
11,53,31,97,33
82,79,36,68,46
19,79,47,46,6
39,51,34,18,79
18,9,66,18,9
37,77,45,74,83
12,58,40,64,93
26,85,86,22,41
98,91,9,36,83
8,1,33,63,1
6,93,18,93,96
39,14,63,88,12
91,19,82,37,61
14,66,37,47,5
41,37,67,60,26
93,82,22,24,55
24,4,28,2,64
52,14,29,52,3
48,53,38,7,76
36,15,59,76,42
66,89,52,97,96
2,27,64,57,11
84,61,6,55,32
70,64,5,16,83
53,16,92,38,89
18,70,11,8,62
25,1,96,95,60
80,77,32,44,19
17,29,88,35,98
16,29,26,44,27
6,70,76,39,67
93,56,19,94,27
33,79,36,45,54
65,42,73,7,47
93,31,52,90,77
65,88,49,2,16
81,17,73,70,93
43,16,3,36,19
29,52,82,74,38
72,40,77,86,62
88,11,93,93,10
80,39,91,17,19
36,90,6,94,3
53,37,32,90,70
66,21,25,73,48
59,61,73,47,16
16,71,30,43,75
47,33,45,82,86
93,88,90,95,64
21,48,95,69,23
4,81,96,5,14
2,82,58,37,39
42,14,59,48,47
59,5,56,73,31
88,100,3,17,23
99,81,74,66,33
12,73,95,70,43
30,72,99,66,37
79,36,67,59,42
6,75,81,3,100
67,41,62,6,41
95,14,64,35,45
44,37,72,18,97
53,88,54,24,62
100,14,8,78,77
22,33,14,36,63
32,31,100,94,13
92,90,81,61,9
15,72,97,73,1
50,75,7,91,75
81,51,45,68,53
19,67,6,82,55
85,86,59,42,3
86,23,6,90,99
46,12,16,14,6
13,40,33,39,58
56,93,5,83,67
9,99,72,69,53
15,90,45,84,63
73,12,96,8,91
56,51,47,84,82
41,5,45,15,94
65,11,92,23,29
93,33,50,99,79
53,68,23,22,52
55,90,93,1,78
94,29,33,13,64
89,9,78,32,70
21,44,35,20,25
99,65,72,35,68
2,69,20,69,93
57,76,33,87,40
65,33,100,15,80
92,91,54,83,79
43,20,87,68,42
37,50,59,4,74
21,88,49,25,60
89,100,88,41,83
97,60,49,22,19
87,63,1,62,19
28,75,5,46,80
75,60,32,49,92
30,44,57,73,18
62,15,90,42,48
56,13,76,68,6
22,73,23,95,93
13,37,49,13,31
59,57,52,39,32
32,22,92,84,27
47,59,7,85,40
36,89,32,2,1
69,94,78,7,92
27,55,20,44,76
73,64,47,45,45
50,54,96,15,98
78,77,70,73,43
3,65,82,9,17
4,13,72,3,24
40,2,40,96,95
18,25,77,59,33
41,17,84,85,3
25,7,50,63,35
59,75,75,78,4
27,73,73,93,86
49,95,13,68,55
9,93,99,92,67
85,71,19,53,7
43,52,44,52,13
82,9,32,2,40
74,20,8,36,7
15,95,56,79,74
22,86,46,10,72
75,30,48,18,94
63,22,86,39,97
9,88,39,80,8
95,17,8,8,41
33,38,83,60,84
100,96,92,7,53
94,68,29,64,68
87,94,13,54,32
90,25,98,54,54
10,73,6,67,96
71,69,69,50,67
36,65,49,68,3
62,53,100,17,25
17,52,48,4,57
8,75,74,88,100
1,19,52,34,25
32,46,85,25,9
39,87,34,35,21
97,78,65,36,34
81,7,6,32,86
84,98,39,36,17
41,79,91,41,6
66,29,65,42,90
61,25,98,77,14
69,16,52,68,89
6,32,6,75,82
44,41,14,59,88
90,31,85,6,2
13,46,32,38,76
54,85,82,17,73
93,2,60,25,69
96,62,19,100,62
87,61,52,17,76
91,13,53,37,58
37,3,35,35,18
29,58,51,39,42
92,25,35,79,53
23,18,21,89,95
31,24,70,72,5
42,39,3,60,39
31,34,38,47,20
24,72,88,77,99
28,84,34,91,93
59,40,77,17,42
80,59,100,49,4
22,100,58,87,17
1,29,54,95,72
36,73,9,31,13
88,49,22,41,1
38,91,4,7,92
90,67,44,36,59
12,72,55,74,1
76,34,54,73,51
88,10,56,87,33
85,13,18,35,30
47,98,94,7,50
34,84,10,26,89
62,15,94,86,7
80,8,88,75,96
14,4,64,92,23
82,18,21,98,58
89,8,62,53,27
35,25,29,32,20
21,50,59,33,33
14,22,38,6,43
41,52,34,17,3
38,85,69,64,58
35,46,58,42,56
72,21,56,17,81
66,47,75,72,35
92,70,94,91,76
93,70,44,36,42
70,83,72,92,97
11,76,34,80,77
76,68,33,93,43
72,14,84,69,9
18,87,37,59,70
76,7,78,71,2
65,96,64,54,15
32,55,68,3,43
26,19,45,16,58
62,53,20,80,63
27,72,57,33,84
32,3,56,96,33
7,26,37,21,46
56,58,22,35,9
37,87,91,78,48
40,91,82,33,1
43,71,80,71,50
23,83,76,15,74
15,30,100,47,37
57,51,40,16,27
91,63,55,62,25
82,33,100,49,56
16,99,35,72,44
16,56,100,35,51
4,13,84,80,64
76,16,59,33,80
55,99,31,24,97
84,25,92,46,77
73,86,77,24,37
18,45,13,70,23
9,69,49,90,63
75,63,4,7,7
74,24,9,36,42
59,71,74,31,93
66,32,48,6,82
9,91,31,57,93
30,77,40,74,1
49,32,62,25,14
64,84,97,50,55
90,79,32,41,18
87,23,94,33,95
10,6,89,86,8
57,4,31,25,25
37,56,35,33,82
21,31,73,49,68
65,86,81,62,94
17,86,36,90,83
87,19,100,24,100
15,28,87,20,67
14,3,98,7,38
50,38,94,53,80
44,43,26,85,55
4,58,65,90,50
56,84,1,2,37
74,58,17,16,5
92,22,28,10,70
24,85,92,69,84
74,53,98,49,19
59,80,70,4,59
35,19,25,48,29
18,67,22,41,37
50,15,23,31,82
94,24,20,71,96
63,22,59,70,79
38,96,89,76,4
57,91,46,9,61
40,90,82,40,17
50,39,64,36,74
72,79,73,39,77
91,98,81,14,42
13,62,45,95,32
28,8,76,66,52
83,46,96,75,33
26,92,78,8,92
61,40,77,6,87
77,90,33,6,74
29,47,74,12,33
66,80,59,3,49
86,14,87,81,87
32,39,25,22,18
56,88,45,16,85
32,34,25,39,87
11,6,59,63,38
43,40,36,52,40
35,28,24,85,1
100,72,55,90,85
93,83,68,59,19
2,76,16,88,61
57,67,92,77,21
83,68,89,30,75
51,5,99,19,33
37,45,22,70,1
59,53,64,50,20
91,51,95,79,36
98,51,38,8,42
67,91,61,19,94
10,88,98,8,37
91,99,29,33,35
97,4,85,71,57
91,55,63,100,41
2,41,29,46,22
67,58,20,62,40
37,54,6,53,63
46,79,22,16,38
1,18,14,97,42
44,81,65,30,12
66,55,42,55,97
66,39,43,10,29
40,60,31,47,74
55,83,84,11,36
62,98,79,90,98
52,84,14,65,55
61,44,73,20,37
42,74,27,84,70
31,4,46,96,28
97,40,70,77,91
80,92,91,23,20
1,31,39,63,27
16,93,22,97,6
67,63,47,56,86
64,55,98,90,42
85,45,30,28,19
95,98,66,80,53
33,32,72,95,73
43,64,13,62,83
97,30,22,35,51
75,18,70,14,67
70,34,99,86,35
78,50,97,78,51
70,19,88,82,53
61,82,44,51,56
57,48,36,10,46
88,40,99,9,81
99,100,20,81,66
63,63,41,32,79
4,97,38,14,25
47,56,82,42,95
65,86,26,13,19
25,12,66,39,10
38,13,32,46,89
54,11,78,60,17
73,92,55,97,8
96,60,50,58,27
82,73,97,31,63
67,31,2,49,93
24,23,88,50,93
25,42,45,56,88
93,100,29,32,19
57,74,41,100,76
15,11,21,100,55
36,84,67,20,23
60,15,77,8,21
8,20,82,77,8
13,54,9,41,71
98,43,83,23,91
78,33,97,84,43
23,69,32,56,2
82,27,29,50,97
40,56,46,72,42
81,79,81,99,6
65,32,90,33,22
36,35,4,87,12
2,63,30,94,60
37,87,38,2,8
17,40,42,65,31
